k,i
67,"{[1, 6), [15, 18), [24, 28), [32, 34), [42, 46), [49, 52), [55, 57), [63, 66), [71, 75), [90, 92)}"
68,"{[16, 17), [44, 49), [54, 57), [63, 67), [75, 80), [85, 86), [88, 90)}"
69,"{[11, 13), [22, 27), [34, 35), [41, 42), [46, 49), [57, 60), [67, 69), [77, 82), [88, 90)}"
70,"{[0, 5), [14, 15), [24, 29), [30, 32), [41, 43), [50, 55), [64, 65), [72, 77), [84, 87), [93, 96)}"
71,"{[16, 18), [31, 36), [42, 47), [49, 53), [58, 60), [70, 73), [78, 82), [87, 92)}"
72,"{[1, 2), [11, 14), [43, 46), [58, 59), [61, 64), [76, 78), [87, 91)}"
73,"{[46, 51), [54, 56), [67, 71), [83, 86), [93, 97)}"
74,"{[8, 13), [24, 26), [28, 32), [40, 41), [47, 51), [58, 63), [71, 74), [81, 84), [92, 95)}"
75,"{[2, 6), [21, 22), [31, 36), [39, 44), [54, 56), [58, 62), [68, 71), [80, 85), [93, 98)}"
76,"{[42, 43), [62, 67), [70, 75), [85, 88), [94, 96)}"
77,"{[16, 19), [35, 37), [39, 41), [47, 48), [55, 56), [65, 67), [85, 89), [95, 96)}"
78,"{[47, 50), [64, 65), [73, 76), [83, 87), [94, 96)}"
79,"{[49, 54), [62, 67), [69, 72), [82, 86), [90, 95)}"
80,"{[22, 24), [40, 44), [60, 63), [70, 75), [81, 85), [93, 94)}"
81,"{[15, 20), [25, 27), [31, 32), [42, 45), [52, 56), [62, 66), [71, 74), [84, 87), [93, 98)}"
82,"{[6, 8), [28, 32), [38, 41), [42, 47), [52, 53), [62, 63), [72, 73), [94, 97)}"
83,"{[15, 19), [24, 26), [34, 37), [43, 44), [48, 50), [53, 54), [68, 73), [76, 81), [83, 88)}"
84,"{[50, 51), [62, 64), [68, 73), [85, 86), [92, 95)}"
85,"{[24, 29), [43, 46), [52, 57), [65, 67), [73, 78), [85, 86), [93, 94)}"
86,"{[1, 3), [41, 46), [63, 65), [69, 70), [76, 78)}"
87,"{[6, 10), [60, 63), [66, 71), [78, 82), [95, 97)}"
88,"{[34, 39), [45, 50), [53, 57), [61, 64), [75, 79), [84, 86), [88, 90)}"
89,"{[5, 9), [14, 17), [21, 22), [31, 36), [40, 45), [51, 54), [61, 66), [69, 72), [82, 84), [94, 99)}"
90,"{[8, 10), [15, 20), [26, 28), [41, 46), [55, 60), [65, 67), [72, 74), [92, 94)}"
91,"{[20, 21), [26, 29), [30, 32), [42, 47), [57, 61), [75, 79), [82, 86), [94, 99)}"
92,"{[1, 2), [5, 10), [16, 20), [38, 40), [47, 50), [57, 59), [71, 74), [84, 87), [92, 96)}"
93,"{[19, 21), [35, 36), [44, 45), [53, 56), [63, 65), [71, 72), [78, 83), [94, 98)}"
94,"{[11, 13), [35, 36), [54, 55), [63, 65), [73, 75), [80, 85), [89, 94)}"
95,"{[37, 42), [51, 55), [61, 62), [84, 89), [92, 97)}"
96,"{[4, 8), [44, 45), [47, 49), [65, 70), [74, 79), [83, 87), [95, 98)}"
97,"{[3, 4), [19, 22), [27, 31), [41, 44), [53, 57), [61, 62), [69, 70), [77, 80), [95, 96)}"
98,"{[27, 29), [51, 55), [63, 65), [83, 84), [91, 93)}"
99,"{[44, 49), [53, 54), [64, 66), [73, 75), [84, 87), [94, 98)}"
100,"{[10, 14), [23, 26), [29, 32), [40, 41), [49, 51), [60, 65), [70, 73), [83, 88), [92, 93)}"
