name,pop_max,geom
Abohar,130603,0101000020E6100000E400ED7CAB8B5240CCFBB5A857203E40
Aboisso,37654,0101000020E61000002DAF5C6F9B9909C0604A6E5EE6DD1540
Abomey,82154,0101000020E61000005028FA3207D7FF3F99AFDC1CF8C21C40
Abong Mbang,14661,0101000020E61000008978EBFCDB5D2A40399F950F9CDE0F40
Abra Pampa,4480,0101000020E61000004AD7A777CC6C50C0223A5F4777B736C0
Abu Dhabi,603492,0101000020E6100000F8F65388EC2E4B405D948F9378773840
Abu Kamal,80808,0101000020E610000060D50FA0957544401C8F6335A7394140
Abuja,1576000,0101000020E6100000FAAF59CF40F51D403307B634F71B2240
Abunã,1929,0101000020E6100000D9B51897055750C0DDD671570A6423C0
Abéché,158317,0101000020E610000033B385D679D434402CB17CA713AE2B40
Acapulco,715584,0101000020E6100000A83462669FFA58C0CA65ED0099D93040
Acaraú,28389,0101000020E61000007E29F2DA5B0F44C041C92E62E91D07C0
Acarigua,260921,0101000020E610000085798F33CD4C51C0B6508DF227292340
Acatlan,18879,0101000020E610000015BE631D338358C04001CA9530333240
Accra,2121000,0101000020E6100000640D72721AFDCBBF711E4E603A351640
Achacachi,8447,0101000020E61000009862580FA92A51C0648A8395541530C0
Achinsk,117634,0101000020E610000042AA72EBFF9F5640D5A8D1F58E224C40
Ad Dakhla,89292,0101000020E61000009912A4ADA5DF2FC00F04125ECCB63740
Ad Damazīn,186051,0101000020E6100000A9C8D754CC2C41404265B26E728A2740
Ad Diwaniyah,358408,0101000020E61000008450398144764640E4C8B9032BFD3F40
Ad Nabk,50178,0101000020E61000005908BCDDDC5D4240BF428B112E024140
Ad-Damir,103941,0101000020E6100000B718F2BEE0FA404073124A5F08973140
Adana,1293000,0101000020E6100000C19C8F21B6A8414087E0B88C9B7F4240
Adapazarı,260109,0101000020E61000004B4A308B3F6A3E40DECA129D65664440
Addis Ababa,3100000,0101000020E610000085D8F4FB5959434064F6C3190D122240
Adelaide,1145000,0101000020E610000083C2A04C235361401B26BFEA6D7741C0
Adelaide River,237,0101000020E6100000D105F52D3363604001FFEFE3C37F2AC0
Aden,1000000,0101000020E61000006191BAF83681464025E99AC9378F2940
Adigrat,104021,0101000020E61000004595AB6928BC4340A2821EC5948F2C40
Adjumani,34700,0101000020E61000005DD83FF449CF3F406D1915DD1FE40A40
Ado Ekiti,446749,0101000020E6100000DEFD96A542E11440352ACB6B80851E40
Adrar,56910,0101000020E61000001D9FDA2AD28ED2BF0158D3ABB7DE3B40
Adıyaman,223744,0101000020E61000007BE35AA3D423434086C613419CE24240
Afyon,156992,0101000020E61000008BF1AB83CD8C3E40AC32F8A00C604340
Agadez,117770,0101000020E610000085C7C8A365EE1F40D2F4238FF1FE3040
Agadir,825467,0101000020E61000002F30D05A763D23C03BA01111A3703E40
Agana,122411,0101000020E610000036CEA62300186240812CFAF9A5F02A40
Agapa,10,0101000020E6100000C52C6AE6FF4F564088F37002D3DC5140
Agartala,203264,0101000020E6100000345A5881EBD156401270630EDDD53740
Agboville,81770,0101000020E6100000E51FC720C11E11C0299BCD3EEAC21740
Agdam,0,0101000020E6100000C0AD60C037C74640BD659824E0734440
Agen,58223,0101000020E6100000E074DC3A4944E43FE0D2D62DA7194640
Aginskoye,11491,0101000020E61000003BB077DA75A15C406461E355318D4940
Agordat,28600,0101000020E6100000D76F815F7EF14240879B9D561B192F40
Agra,1592000,0101000020E610000081F91A38D680534090EFF730202C3B40
Agrinio,75233,0101000020E610000093B53CC560683540B32F8FEB954F4340
Agua Prieta,86083,0101000020E61000004318E4D308645BC03FC6DCB584523F40
Aguascalientes,869000,0101000020E61000009D0BC803B69259C035817DCFA3E13540
Aguelhok,9000,0101000020E6100000918F27936467EB3F72E94E6672743340
Ahar,103639,0101000020E61000007661B5430D8847409C3CC0EECF3D4340
Ahmedabad,5375000,0101000020E6100000A78C24E6FE245240E182C71231083740
Ahmednagar,391760,0101000020E6100000BECB5DC2BAAF52407A368EFBFF143340
Ahuachapán,34102,0101000020E61000008AE42B81147656C04FC939B187D62B40
Ahvaz,996000,0101000020E6100000B26A6B9FE95B4840361D01DC2C483F40
Aiguá,2692,0101000020E610000036B79D1100604BC023F36D66991941C0
Aiken,46196,0101000020E6100000AFF7D15F1E6E54C06FF085C954C64040
Aiquile,8224,0101000020E61000000FFA884E854B50C0C7759D57863032C0
Aix-en-Provence,146821,0101000020E61000009EC431DCCACC1540DBDBD20F8FC24540
Aizawl,283021,0101000020E61000001FE91DB8142E5740711C78B5DCB53740
Ajaccio,54364,0101000020E610000056C2C9ECE2742140EAA2320FAAF64440
Ajdabiya,143833,0101000020E610000065C405A051383440979EFA511EC53E40
Ajmer,589985,0101000020E61000008203B573F5A85240E639C72533733A40
Aketi,58601,0101000020E6100000B3DF2417ADC73740BCCADAA678EC0540
Akhtubinsk,44551,0101000020E61000007DFCEFD29715474024253D0CAD234840
Akita,320069,0101000020E61000007BFDA435E182614093FA57FBE0DA4340
Akjoujt,370,0101000020E61000003481221631C82CC035A440553BBF3340
Akola,503502,0101000020E6100000D0B87020A44053401A8FADC2C1B53440
Akron,703200,0101000020E610000041834D9D476154C0BDD6EFD302894440
Aksu,695000,0101000020E6100000BEC8BA6E00105440D4580C6833934440
Aksum,47487,0101000020E6100000F7819A10295C4340CACB50CBC5422C40
Akure,420594,0101000020E610000040248D1BC8CC1440BF3566C867001D40
Akureyri,16563,0101000020E61000001C8C22B59A1932C0AFBB2F1DA96A5040
Al Ahmadi,68763,0101000020E610000018665710B90A4840E69887A7B2133D40
Al Amarah,345007,0101000020E6100000FC98C57A59934740778CE1A073D73F40
Al Aqabah,95048,0101000020E6100000908FCCD9F1894140A6A84423E9863D40
Al Ayn,408733,0101000020E6100000E9CD4D40B8DE4B4083B0091F003B3840
Al Bayda,1794,0101000020E6100000EF14BC32B99E35403AF1304855614040
Al Bayda,37821,0101000020E6100000D468CDEA78C9464039B12C3D3FF52B40
Al Fallujah,231819,0101000020E610000025276E707DE345402FF7C95180AC4040
Al Fujayrah,94163,0101000020E610000093832392322B4C40B1097AB9991F3940
Al Ghaydah,27404,0101000020E6100000C995D5CFF6144A409966BAD7493D3040
Al Hasakah,128100,0101000020E61000006B9C4D4700604440CBC39D66DC3D4240
Al Hillah,594605,0101000020E6100000CDFEE5FFFA354640095971056F3C4040
Al Hillah,594605,0101000020E61000007E7F3969D060474062D1BE034D7D3740
Al Hudaydah,780000,0101000020E610000017467A51BB7945400CB4965D8B992D40
Al Jaghbub,1744,0101000020E6100000D4BDA9A33E84384040AD58B219C03D40
Al Jahra,194193,0101000020E6100000829DAC623BD4474002D53F8864563D40
Al Jawf,24132,0101000020E6100000223317B83C4A3740164ED2FC31333840
Al Jubayl,237274,0101000020E6100000170FEF39B0D24840CA2C8C3E30013B40
Al Karak,80062,0101000020E6100000F16B7FC234DA4140C1A3326A632F3F40
Al Khalil,280321,0101000020E610000076EFF2BE3B8C414026F3D94B648A3F40
Al Kharj,298428,0101000020E610000097523CD3F0A74740F361AC25D3273840
Al Khums,201943,0101000020E610000062156F641E852C40E4CA8FAE88544040
Al Kut,321521,0101000020E610000057491A9249EA4640B3507CC6CF3E4040
Al Mafraq,57118,0101000020E610000059DAA9B9DC1D42409CC6511443244040
Al Marj,169540,0101000020E610000033B385D679D43440C987EAF70E404040
Al Mubarraz,298562,0101000020E61000006214048F6FC848407A394778D66D3940
Al Mukalla,258132,0101000020E61000000E4526851E9048401A749DA113152D40
Al Musayyib,76454,0101000020E61000004A2FC5B01E2546406D533C2EAA634040
Al Qamishli,104107,0101000020E610000050615BF56F9D44402607A2DDD7834240
Al Qunaytirah,4318,0101000020E61000004064366D6BE9414001E4DFC215904040
Al Qunfudhah,157,0101000020E6100000CAF2BFA6188A444079E8BB5B59203340
Al Quwayiyah,8712,0101000020E61000009908C0E4EBA3464088E244AADE123840
Al Wajh,43237,0101000020E61000003F8056AA553B42408914B9967F3B3A40
Al-Qatif,368892,0101000020E61000002DC83B2C7901494074EA6FAE06853A40
Al-Ubayyid,393311,0101000020E6100000CE1B278579373E40D3646B22D85D2A40
Alagoinhas,124070,0101000020E61000009C8BBFED093743C08918C0A5AD4728C0
Alajuela,387743,0101000020E61000000D175EEEB80E55C0CD847016400A2440
Alamogordo,36058,0101000020E61000000477FB076C7D5AC07803160A22734040
Alapayevsk,44000,0101000020E6100000A5BF97C283D84E40906C09545AEC4C40
Alappuzha,176783,0101000020E61000003CD79C28AE1753407FF21C3636002340
Alatyr,46427,0101000020E6100000F7C14362CC4C47403E2FCB8DD86C4B40
Alausí,14294,0101000020E61000003D748B0A66B653C0E4E198C0088501C0
Alayat Samail,47718,0101000020E61000006D5919E835FD4C404A044FC69D4D3740
Alba Lulia,66085,0101000020E61000000FA958EB7A9437406618D23CDB094740
Albacete,158094,0101000020E6100000B66C08E984EBFDBFB99E32480B804340
Albany,88766,0101000020E61000004B0FF91DF90955C0F8B5E4A727943F40
Albany,870716,0101000020E6100000A2E552C07B7052C0068D7EE1AD534540
Albany,26445,0101000020E6100000393D940D10795D40A263624E2B8241C0
Albany,51376,0101000020E610000086A92D7590C55EC02836D5496C4F4640
Albert Lea,20522,0101000020E61000004199EBD9985757C052A4B1ACEAD24540
Albuquerque,898642,0101000020E6100000B9FA56900BA95AC0BB7372D06F8D4140
Albury,104258,0101000020E6100000CCDBC7C0705D624017CD6F3DAF0742C0
Aldama,12292,0101000020E6100000B0D1CD597A8458C0DD89A3BCA0EB3640
Aldan,24426,0101000020E6100000EDD808C4EB585F40410702092F4D4D40
Aleg,8388,0101000020E6100000726A0CDF67D12BC0204432E4D80E3140
Aleksandrovsk Sakhalinskiy,12024,0101000020E61000009E7939ECFEC46140D417F840E1724940
Alekseyevka,39848,0101000020E61000005542C1D6B65843408E7E8F55A5534940
Aleksin,66885,0101000020E61000005BED612F148C4240B6E166A7D5414B40
Alenquer,26290,0101000020E610000032EDF6B41E654BC07193AC1E8B08FFBF
Aleppo,2738000,0101000020E6100000BDA541768395424023337271AF1D4240
Alert,125,0101000020E6100000A7446D76FF1F4FC07A596EC4EE9E5440
Alexander Bay,1500,0101000020E610000043D25DC8D9803040342BDB87BC9B3CC0
Alexandria,127273,0101000020E61000009C98287C884353C01313608BF4664340
Alexandria,49346,0101000020E6100000FC5D2E5673543940D5401E29B8FC4540
Alexandria,4165000,0101000020E610000009F9A067B3F23D401BEEC8FDB3333F40
Alexandria,76565,0101000020E6100000FDB0941B7B1C57C088DBFC1AA44F3F40
Alexandroupoli,52979,0101000020E6100000494D1652D9DF394025E07C8F9F6C4440
Aleysk,28019,0101000020E610000036994C70C5B15440BA98B047F23E4A40
Algeciras,111027,0101000020E61000008B8C9F0F86CF15C06CC5F87EE1104240
Algha,28267,0101000020E610000028BA2EFCE0AA4C405DA9C2FA9AF34840
Algiers,3354000,0101000020E61000008FEED6E88B63084087CBE0DEEB614240
Ali Sabih,40074,0101000020E61000000FCDE1FF335B454090508E5DFD4F2640
Alicante,315863,0101000020E610000057EE601FF8F3DEBF291A10C6F42C4340
Alice,22655,0101000020E6100000FF976BD1828458C0D95F764F1EC03B40
Alice Springs,27710,0101000020E6100000419B1C3E29BC6040471CB28174B337C0
Aligarh,805000,0101000020E6100000583B8A73D4835340FB7EC575E7E43B40
Alipur Duar,127342,0101000020E61000003C2EAA4544645640B623E6A3D67B3A40
Aliwal North,44436,0101000020E6100000CBE5F516C5B53A40CD8EF92587B03EC0
Allahabad,1201000,0101000020E610000065C39ACAA2755440EB313619FA743940
Allakaket,97,0101000020E6100000B34291EEA71463C0945B49E130A45040
Allanmyo,57897,0101000020E61000005A9F724C96CE574032AF230ED9603340
Allende,19636,0101000020E61000009072E60D663659C0391499147A543C40
Allentown,496442,0101000020E610000071E6577300E052C0327ED069CC4C4440
Alliance,8344,0101000020E61000007670B037B1B759C0EBBB6C85FA0C4540
Almaty,1209000,0101000020E6100000DE324C12703A53408BB26D07D9A94540
Almenara,29333,0101000020E61000004CFC51D4995944C0E42CEC69872B30C0
Almería,179405,0101000020E6100000C07630629F7003C05E68AED3486A4240
Almetyevsk,140437,0101000020E61000009574DE10F4284A40324AE18B40734B40
Almirante,8114,0101000020E61000005E3CCD13999954C0F8C9AC399B992240
Alofi,581,0101000020E610000070B9556B3C3D65C03270E591E41033C0
Alor Setar,336475,0101000020E610000065C74620DE175940388A07EF06741840
Alotau,11624,0101000020E6100000E41D96BCB0CE62406207DF45A99A24C0
Alpena,18330,0101000020E61000007687B949B1DB54C04B2EB594E2874640
Alpine,6587,0101000020E6100000E053EF5F8FEA59C0D31F50EC575C3E40
Alta,12077,0101000020E610000011E0F42EDE3D374041953F84DD7D5140
Alta Floresta,40466,0101000020E61000003E75AC527AF44BC0CBD4C9BED0CC23C0
Alta Gracia,40384,0101000020E6100000695C93C9841B50C03B0F385CF5A83FC0
Altagracia de Orituco,40052,0101000020E6100000DC5328C1519850C059DA4E006AB32340
Altai,32488,0101000020E6100000CE2E8AD85F1058400302795E512E4740
Altamira,70888,0101000020E6100000B0CB4B59E11A4AC0960FF747CE9809C0
Altata,1000,0101000020E610000012667F45A3FA5AC0F34707DAD3A23840
Altay,142000,0101000020E61000009F1628CE76075640F21F77B6ECEE4740
Altdorf,8678,0101000020E6100000A486DB46A8462140C34E0C2483704740
Alto Rio Sanguer,1548,0101000020E610000022B2FE8554B551C0A8740BB8428446C0
Alton,84276,0101000020E6100000E0CD6449CA8B56C02F2BB92F0C724340
Altoona,78607,0101000020E6100000BE5F1624479953C08763A76961424440
Alvorada,10232,0101000020E6100000489BF4087F8A48C041159227A4F028C0
Alwar,283228,0101000020E610000037401F1BB7265340CE16B5A09C8B3B40
Alxa Zuoqi,56387,0101000020E61000002D6810D5CA6A5A407F805AB1646B4340
Am Timan,30443,0101000020E61000007A7C314A864834408976BA980B112640
Amahai,47653,0101000020E6100000BB95CA80181E6040A54C6A6803A00AC0
Amapá,1947,0101000020E610000007BA51BF666649C09311610D61660040
Amaravati,5800000,0101000020E6100000340384758E2154407FC4C5CE9D883040
Amarillo,181766,0101000020E6100000A3320FAA1E7559C08B1DE8FC6F9D4140
Amasya,82896,0101000020E61000007201C34DA1EA41404F0647C9AB534440
Ambala,146787,0101000020E61000008D319134AD325340B0F9287A97603E40
Ambanja,30621,0101000020E6100000888ACCB79939484076E09C11A55D2BC0
Ambarchik,0,0101000020E6100000993336CFAC4A64409DC0CF13AA695140
Ambato,281425,0101000020E6100000D15158F3ADA753C0649BAFED4850F4BF
Ambatondrazaka,43134,0101000020E610000016D3968455354840C6843D9237D531C0
Ambler,258,0101000020E61000008A004CBE3EBB63C0A26538F988C55040
Ambon,355596,0101000020E6100000FE614B8F66066040FAD9232FC6BB0DC0
Ambriz,17000,0101000020E6100000282B86AB03402A4047054EB6816B1FC0
Amderma,282,0101000020E6100000F98C9F2177D54E405738EE39D5705140
Americana,479472,0101000020E61000005241EA1B3DAA47C0DED9684AFCBF36C0
Ames,57104,0101000020E61000009D726EBAE06757C05997BAB363024540
Amherst,9336,0101000020E6100000F459547ADC0D50C0B6F63E5585E84640
Amiens,143086,0101000020E61000007D5A457F68660240B68A598A3FF34840
Amman,1060000,0101000020E61000006D3F749C36F74140B63CC560B4F33F40
Amol,221650,0101000020E61000006B3D8DC5802E4A40AB22DC64543C4240
Amos,10516,0101000020E61000005808066B778753C0DE27FD7387484840
Amravati,734451,0101000020E6100000B6211E2C0972534075A16732F5EC3440
Amritsar,1212000,0101000020E61000009AD8D7158EB75240EC0B321356A43F40
Amsterdam,1031000,0101000020E6100000B759619FA5A813407D3ECA880B2D4A40
Amundsen–Scott South Pole Station,200,0101000020E610000008DE358DD21F66406B4029FFFF7F56C0
Amursk,46993,0101000020E6100000617715ADB71C614044696FF0851C4940
An Nabk,10000,0101000020E610000086AFAF75A9AA4240FFB0A54753553F40
An Nasiriyah,451547,0101000020E610000098B9652C3F22474007674BB1FE0A3F40
Anaco,117596,0101000020E61000007FE25BB3701D50C09439F13048E12240
Anadyr,10332,0101000020E610000012C7702B332F6640D25DC8D92A2F5040
Anbyon,38142,0101000020E6100000DB3B592030E15F40DA54DD239B834340
Anchorage,260283,0101000020E610000048E702F665BC62C051D0E47D649B4E40
Ancona,100507,0101000020E61000009FE2DD36F8FF2A40DEB0C80AD9CC4540
Ancud,28020,0101000020E61000001A21F24C1E7552C013D55B035BEF44C0
Anda,181533,0101000020E6100000F019E4897B545F40F243A51133334740
Andamooka,528,0101000020E6100000F1A54B5A4C256140FFF22444546E3EC0
Anderson,61558,0101000020E6100000565348E89DA954C0C181DAB97A404140
Andijan,650000,0101000020E6100000DE2E4503C21552400EA14ACD1E654440
Andkhvoy,71730,0101000020E610000001906EDF7E4650403E82D19B40774240
Andoany,22680,0101000020E6100000CC7D721420224840544843D7CFCC2AC0
Andoas,10,0101000020E61000002035DC36C21953C0D56BC4DD6A3707C0
Andong,129319,0101000020E6100000C8F2093433176040D916540A70484240
Andorra,53998,0101000020E6100000D1270319EE6CF83FF9E1D85E60414540
Andradina,52406,0101000020E61000004291932EA2B049C0C0BFF7EDDAE834C0
Androka,174,0101000020E6100000E2372ADC970946407F4523449E0539C0
Ang Thong,13738,0101000020E61000006EAD8ACBCC1C5940934F34B4A62A2D40
Angangxi,24317,0101000020E61000000955C5AF33F35E40A290099D7C944740
Angarsk,243158,0101000020E61000009F8E6C53E1FA5940E2016553AE474A40
Angeles,314493,0101000020E61000000FA03AB1E2225E40012A66CE444A2E40
Angers,188380,0101000020E61000006BDECC4301F6E0BFD82AC1E270BD4740
Angoche,57835,0101000020E61000002C4C3A257BF443406E8ECE54E33A30C0
Angol,44856,0101000020E61000006E285ADC262D52C015F3B2DAAEE642C0
Angra do Heroísmo,12045,0101000020E6100000E60709AC77373BC0560C570740534340
Angren,202070,0101000020E6100000A646E867EA8951402CCD5257E3834440
Aniak,501,0101000020E61000000BFEC8BEB5F063C0C1B80A1813CA4E40
Ankang,1100000,0101000020E61000008877CAB447415B40A2348A9B09574040
Ankara,3716000,0101000020E61000004AC9BC9F646E404008FAB083EFF64340
Anlu,71198,0101000020E61000004B901150E16A5C40F14520031E453F40
Ann Arbor,265976,0101000020E6100000BA3AB65414EE54C0EFC27BB372264540
Anna Regina,3113,0101000020E6100000B88F81E101404DC0A6A84423E9141D40
Annaba,503524,0101000020E6100000075A2668380A1F406DCF87C2C2754240
Annapolis,81300,0101000020E610000098535D1B851F53C0A118B4EB397D4340
Annecy,105749,0101000020E610000075A84B6B78771840B19CCE5F32F34640
Anqing,580497,0101000020E61000002D2E443D33435D40C6D9194BFD7F3E40
Ansan,739493,0101000020E6100000B775DC9502B75F4035E5547C8DAC4240
Anshan,1639000,0101000020E61000006678FD9309BC5E40335AFDC7F88E4440
Anshun,849000,0101000020E61000001F477364657B5A40CF5037AB99403A40
Antakya,154803,0101000020E6100000AF9A4242EF0E424053454CE4DD1D4240
Antalaha,47224,0101000020E61000009603E21A44244940B344679945C42DC0
Antalya,783000,0101000020E6100000A51FC319B2B23E407F315BB22A724240
Antananarivo,1697000,0101000020E610000040FCFCF7E0C14740DF6DDE3829EA32C0
Antigonish,6739,0101000020E6100000725875B1C4FF4EC05169C4CC3ED04640
Antigua Guatemala,39368,0101000020E6100000B086D569EEAE56C02269DC4026222D40
Antofagasta,309832,0101000020E61000008873C3A5999951C00DABD3DC65A637C0
Antsirabe,307921,0101000020E6100000C012FEFB428447406F8A7DB89AD933C0
Antsiranana,82937,0101000020E6100000DBAC5516E0A748400397C79A918D28C0
Antsohihy,21290,0101000020E61000004C82DCEADEFD47403234434F6FBB2DC0
Antwerpen,920000,0101000020E61000008BADFB22FCA6114018224CF6749C4940
Anuradhapura,118302,0101000020E6100000D8C34DFC8718544016AAF64432B32040
Anxi,17886,0101000020E6100000B65906E632F35740E7E84C350E404440
Anyang,887000,0101000020E6100000BED5DFB746965C40D819958A7C0A4240
Anzhero Sudzhensk,83692,0101000020E610000022437D818F8255408D6D08443E0A4C40
Anápolis,319587,0101000020E6100000DBDA673AE07A48C0663D6B6DD05130C0
Aomori,298394,0101000020E6100000AE3FD35CB8966140EC3598E19A694440
Aosta,34062,0101000020E6100000B09EA40A90421D40DACE520D56DE4640
Apalachicola,2284,0101000020E6100000C861307F853F55C0C18B63C9C1B93D40
Apatity,66907,0101000020E6100000433C122F4FB240405AF3E32FADE45040
Apatzingán,98422,0101000020E6100000DD239BAB669659C0DFB42AD379143340
Apia,61916,0101000020E610000083AEE15C987865C0EB9ABCD4E2AB2BC0
Apodi,16757,0101000020E61000006C99678066E642C01CE846FD9A9916C0
Apolo,4189,0101000020E6100000FE7F9C30E11A51C00AA760E86C702DC0
Appenzell,5649,0101000020E6100000257497C459D52240B58F70B5A9AA4740
Appleton,203665,0101000020E610000018B6C1E4A11956C09D0FCF1264224640
Apsheronsk,45876,0101000020E610000053DAD1EE46DD4340DD43C2F7FE3B4640
Apucarana,107085,0101000020E6100000C7B546A929BC49C0625E91A9CC8C37C0
Aqadyr,9710,0101000020E61000004F988B530837524041D9EFE42E234840
Aqsay,34799,0101000020E61000007033CB5477844A40B4AD669DF1954940
Aqsu,8543,0101000020E61000006FFC3F3D6CFD5140E4A837FE9F394A40
Aqtau,4479,0101000020E6100000AD3F78A3459E49404EDEB6A5C4CF4540
Aqtobe,262457,0101000020E61000005BDA5F2CC2954C4062670A9DD7234940
Aquidauana,40803,0101000020E61000002068603F1FE54BC018213CDA387834C0
Ar Ramadi,295121,0101000020E610000055713ED065A645408A7269FCC2B54040
Ar Raqqah,177636,0101000020E6100000F8F47DDD8E8243405AFB969416F74140
Ar Rutbah,22370,0101000020E61000006BD5AE0969244440B7D9B342EC844040
Aracaju,685356,0101000020E6100000488CF9145B8F42C031726083CFCC25C0
Aracati,44293,0101000020E6100000D474875E90E242C020C951256F3D12C0
Arad,169065,0101000020E6100000C45F9335EA51354019FF3EE3C2154740
Araguari,96565,0101000020E610000029CA4A38991948C074000EEBD7A332C0
Araguaína,50444,0101000020E6100000219B9ABAE11A48C0D20CF32F93C21CC0
Arak,503647,0101000020E61000008285DDC199D948405D1ABFF04A0A4140
Arak,423251,0101000020E6100000D8D47954FCFF0D400C9BB7A0AD473940
Aral,33017,0101000020E6100000BD4B4E9253D54E40B41D537765664740
Aranyaprathet,22472,0101000020E61000009D8AAFD1CD9F59408989BC9B5D5D2B40
Araouane,4026,0101000020E6100000BC11CC87563D0CC042B85DC367E63240
Arapiraca,187668,0101000020E6100000FCFF3861C25542C0A01FA1C1018023C0
Arapongas,97512,0101000020E6100000CA935ADE0BB749C0BEA59C2FF66837C0
Arar,222016,0101000020E6100000996EC8F5A58244407F55890D71FD3E40
Araranguá,43444,0101000020E610000018B8978FFFBF48C06B943F29A4F03CC0
Ararat,6110,0101000020E61000006A566C821EDD6140DB166536C8A342C0
Arauca,69264,0101000020E610000021A00C9FBEB051C062AFC10CD75C1C40
Arawa,40266,0101000020E6100000E24A87981C726340B6F3FDD478E918C0
Araxá,82595,0101000020E6100000C3A27D079A7947C0B172C34A609433C0
Araçatuba,170024,0101000020E61000001140C5CC993949C0AF20729FC13535C0
Araçuaí,22005,0101000020E6100000D1306B18F40845C0E0F7CA170FDC30C0
Arba Minch,69622,0101000020E61000008AB2124E66C64240C3BEF8FDF6281840
Arcata,20905,0101000020E6100000952F56E44B055FC0D7402F286D6E4440
Archangel,356051,0101000020E61000000DC74ED3C2454440D3026A20CC245040
Arcoverde,57163,0101000020E6100000E86C01A1F58842C08385387B0CD720C0
Arctic Bay,604,0101000020E61000002015B5EAA94A55C04E113BAE21425240
Ardabil,414603,0101000020E6100000D14433AA6726484089B5F81400204340
Ardmore,24960,0101000020E61000004C5C7D2B484858C078C4D78D2D174140
Arecibo,69307,0101000020E61000000D31033AB8AE50C0E17CEA58A5703240
Arendal,30916,0101000020E6100000C96E0B3B31882140EA0EBD207D3B4D40
Arequipa,815000,0101000020E61000009597A1960BE251C080289831056B30C0
Arezzo,91589,0101000020E6100000F0A07EBCFCBF2740829CE6D319BB4540
Argentia,1063,0101000020E610000084921337B8FE4AC06B96708D74A64740
Arica,185999,0101000020E6100000AB5736188F9251C0D0471971018032C0
Aripuanã,26983,0101000020E610000077D66EBBD0B84DC0D105F52D735A24C0
Ariquemes,58096,0101000020E6100000829774EF3C8A4FC0E3B6C71C15E123C0
Arjona,50405,0101000020E6100000CC457C2766D652C0BFDDEDD522852440
Arlington,724777,0101000020E6100000B0E76B964B4158C099CAEC3DA6574040
Arlit,100000,0101000020E61000005E28A84B578E1D401C6252AF80BC3240
Arlon,26179,0101000020E6100000E481C8224D441740B2E0D97976D74840
Armavir,199548,0101000020E61000008E226B0DA590444023D923D40C804640
Armenia,315328,0101000020E6100000CA99379897EB52C03A460D011B231240
Armidale,22673,0101000020E6100000ADDBA0F65BF562402E5915E126833EC0
Arnhem,141674,0101000020E610000063E2A0CE26B11740174A26A776FE4940
Arqalyq,55521,0101000020E610000013E1157772B95040660AE764F31E4940
Arras,64165,0101000020E610000060D67A7544440640A812AFFC43244940
Arrecife,52944,0101000020E6100000A66E1DD25E132BC00837BE9B13F83C40
Arroyos y Esteros,3055,0101000020E61000007B8269BD848B4CC099ABD50DCA0C39C0
Arsenyev,58700,0101000020E610000028F62BF808A960400C451559C6144640
Artashat,20562,0101000020E610000099501C9B784646403BC20E0819FA4340
Artemisa,68073,0101000020E61000001FD61BB5C2B054C02F151BF33AD03640
Artemovsk,4948,0101000020E6100000A5828AAADF5B5740B8793E5EA32C4B40
Artemovskiy,44689,0101000020E6100000884CF91054EF4E4021A00C9FBEAE4C40
Artigas,41909,0101000020E61000006D5919E8353E4CC0D10E6E217E6A3EC0
Artigas Base,60,0101000020E610000020D84C19936E4DC0CCDA5CEB41164FC0
