k,temp
33,"{0101000020A41E000006F16F5CCB625140B3D808DD981845C0@2001-03-24 13:35:00+01, 0102000020A41E0000020000003C0D64539E165140D8D847E872EF2740EEABFB591834524096659A6863703140@2001-03-24 13:44:00+01, 0104000020A41E0000020000000101000000B8DA32BF8E0B44C0C004201FC51E0040010100000072A0EBD60DCC46C0680EA58382801740@2001-03-24 13:47:00+01, 0101000020A41E000070F2C30AF40D36408A6FB4E049623BC0@2001-03-24 13:53:00+01, 0102000020A41E000002000000D8FCED98ECDC3F401CD53A910F9A4AC008A96EC294C14440407BB1A9BFF749C0@2001-03-24 14:00:00+01, 0104000020A41E000002000000010100000024CB4E5F4E9B4EC01012C115083E30C001010000009874B652A36A50C07E982D46052B36C0@2001-03-24 14:06:00+01, 0101000020A41E00006A004972C72256C0F477DE2212134740@2001-03-24 14:12:00+01, 0102000020A41E0000020000006C36BB6EAF794240BC0CF01C14B65340D6FC89ABB61142405178482384F85440@2001-03-24 14:17:00+01, 0104000020A41E0000020000000101000000E4671E7E7B425B401AAFDE3C70A74FC00101000000D63A5BE52BF25B401CE122C68D1650C0@2001-03-24 14:27:00+01}"
34,"{0101000020A41E0000906D8CBDE5BB35C0FC6664E778193240@2001-02-26 23:10:00+01, 0102000020A41E000002000000F0756BC0D4E054C02AE43AC7CA9B3FC0E297208A149856C088F6195BF6C544C0@2001-02-26 23:18:00+01, 0104000020A41E0000020000000101000000E853728B95B250C0005516416C712AC0010100000078CD4514552450C0BA79A8D6122829C0@2001-02-26 23:27:00+01}"
35,"{0101000020A41E0000104E61123E4A614006FC0040C3484240@2001-12-01 05:11:00+01, 0102000020A41E00000200000028ADA20FF53E5340F0CD0E70C81445C07A00C09DAA2254408C41CAC13A9646C0@2001-12-01 05:21:00+01, 0104000020A41E000002000000010100000000E15325D81E3F4038000D70B4D24D4001010000004808871FB2CA35403065D104462C4E40@2001-12-01 05:23:00+01, 0101000020A41E0000B8906D48FA364340CCA64C69B0354340@2001-12-01 05:28:00+01, 0102000020A41E000002000000A0DC81BB82232F40F4640AD520CD344058E78552B56D3540394AF42C065D3A40@2001-12-01 05:34:00+01, 0104000020A41E0000020000000101000000E5859E09845658C04C72ED72F3EB364001010000008C37F9D5B65456C09C8040B27B5F3C40@2001-12-01 05:43:00+01}"
36,"{0101000020A41E0000CC53F9386F07604010E4364B37D717C0@2001-12-03 03:37:00+01, 0102000020A41E000002000000203354C6E65439C0A4314950FC2732406603C24BFCD330C0836DCB53F6633740@2001-12-03 03:43:00+01, 0104000020A41E0000020000000101000000CA8AB649BF8965407E6B2FA7FF8F4FC0010100000035A07050925C654038EE923DC1764DC0@2001-12-03 03:47:00+01, 0101000020A41E000005D0949E35BE52C0F01BB63F79741040@2001-12-03 03:51:00+01}"
37,{0101000020A41E0000A9D10949BE2D53C05487D98A4F564F40@2001-11-20 04:02:00+01}
38,"{0101000020A41E0000A43100144AD4644000D734E3556FE23F@2001-09-20 19:13:00+02, 0102000020A41E00000200000024AF6B1020F852C02418E8A88939444026DD474C05B254C0B458907E864D4440@2001-09-20 19:23:00+02}"
39,"{0101000020A41E0000B6C32BE45E7D6340B69CB62B6B4E5440@2001-02-11 01:59:00+01, 0102000020A41E00000200000057920FC1DE3B62C0D814E92A4F0E51C082267480D84963C023BC7AF4335650C0@2001-02-11 02:05:00+01, 0104000020A41E0000020000000101000000B455C99383CD534015C35A98EB7F52C0010100000097574DEC37D3514047A30889B54F53C0@2001-02-11 02:08:00+01, 0101000020A41E0000887A6D2014885B40B153CE76848E45C0@2001-02-11 02:15:00+01, 0102000020A41E000002000000F03DE3B6831E50C0BFAA4C44EE3B49C0910307C5804951C0280494FBED9444C0@2001-02-11 02:24:00+01, 0104000020A41E00000200000001010000009D3D5B30AE2F56C0E680A8A4419D51400101000000617956DA1B2457C03371210B02BD4F40@2001-02-11 02:30:00+01, 0101000020A41E0000FA848328C5DE6440D4446AB4E3E74D40@2001-02-11 02:31:00+01, 0102000020A41E000002000000326AA7B6F73262400C2434EDADB945C011FC96AB0349614071A6E710D76747C0@2001-02-11 02:37:00+01, 0104000020A41E00000200000001010000004090136B921331C050EC41296A2D2FC00101000000996734CF197434C00BEBE22923D22AC0@2001-02-11 02:42:00+01, 0101000020A41E0000504CD5C5F30B2240780C4FB0F1392040@2001-02-11 02:50:00+01}"
40,"{0101000020A41E000096F75F161349644012931EA65E345640@2001-05-05 07:36:00+02, 0102000020A41E000002000000601C7E1CC3AD1A40C0AAAFA22EDA14C084D994A007852C407559BE4F88A027C0@2001-05-05 07:42:00+02, 0104000020A41E0000020000000101000000AC42F650A5814EC0A078E5D5585C034001010000000F9C56550F3A51C04CB39A20D5462740@2001-05-05 07:43:00+02, 0101000020A41E0000B83F4C707F1A5C400CB40A56338139C0@2001-05-05 07:51:00+02, 0102000020A41E000002000000A8E23AE47FD65440FC8FDCEDFAEE4440B3578F37226F52406B92A102575A4440@2001-05-05 07:52:00+02, 0104000020A41E00000200000001010000009816D1ED29CF37C0C8F1C1F5BA4652400101000000470B7963EA9E37C0F818F381195A5440@2001-05-05 08:01:00+02}"
41,"{0101000020A41E0000E01CA2D6FC3465C04520A459863256C0@2001-04-12 22:32:00+02, 0102000020A41E00000200000040AB0624C6A40FC00CD7FA3B59E449C0625692FC871521C097A0ADB1E2914AC0@2001-04-12 22:36:00+02, 0104000020A41E0000020000000101000000A9F8C9CBA1E063C08CD1D616B6E133C001010000001F7761A0E98163C06ACBB2B9F00927C0@2001-04-12 22:37:00+02, 0101000020A41E000088CE09F363F351C001F562DEFA0354C0@2001-04-12 22:44:00+02, 0102000020A41E000002000000F0B4445C7F164CC064E4B224581250402FA7FA8DCFFD47C08AAFAD7C7F295140@2001-04-12 22:49:00+02}"
42,"{0101000020A41E0000878C5F1F97AC58C0A066A2492F550EC0@2001-09-27 22:24:00+02, 0102000020A41E000002000000555A96FE47BC57C090719D0E37521CC0B9C5D376A04D59C0A0120EB698D0F03F@2001-09-27 22:30:00+02, 0104000020A41E0000020000000101000000489976F9504359402D5B66154A3945C00101000000D8ABD047E7FA56403F03133062A247C0@2001-09-27 22:33:00+02, 0101000020A41E0000DA8862E0D94C5240906D8A9B8B8F3C40@2001-09-27 22:36:00+02, 0102000020A41E000002000000BE7B1D47E36462C054CB4A537D584C40EE3A1FDB26DE62C05DDB88C10DD34B40@2001-09-27 22:45:00+02, 0104000020A41E0000020000000101000000CD1B71F29F6B55C090330211E2D827400101000000DCB9D39AA77856C0B92D3C0484451C40@2001-09-27 22:52:00+02, 0101000020A41E0000D6AA3B64936C6540D0E90321750B2840@2001-09-27 23:01:00+02, 0102000020A41E000002000000E06ED1A9CDA225401A8A971DC1944AC054E16C7A39E5334003200721A22949C0@2001-09-27 23:05:00+02, 0104000020A41E00000200000001010000001066ACE411EC3B40DC306756227C504001010000004647A41E395B37402A67317C600B4F40@2001-09-27 23:12:00+02}"
43,"{0101000020A41E0000E6720E72FF1A66C082568DEA62C351C0@2001-06-28 04:01:00+02, 0102000020A41E000002000000C03F2939BCB437C09DF35F17217540C04BE5836738F731C05649924F5CAE41C0@2001-06-28 04:04:00+02, 0104000020A41E0000020000000101000000C0ECF66BD09A14C09CC8F4AB00D146400101000000CA8E73C8E9EB23C073177FBB7E184740@2001-06-28 04:06:00+02, 0101000020A41E0000E8DA6966F8FB35404CA05078363439C0@2001-06-28 04:09:00+02, 0102000020A41E00000200000068979693F79747C0302046D7E50E4740F7FE1A9D838644C0C4DE00322A924440@2001-06-28 04:11:00+02, 0104000020A41E000002000000010100000016C94FFCB65D6040FE258802BF9951C0010100000030FB8C7B926F6040E6B489659F3650C0@2001-06-28 04:21:00+02, 0101000020A41E000078B68EF1ADF2654090837A0DED4720C0@2001-06-28 04:31:00+02, 0102000020A41E000002000000F80F2D172D526040E0AC7B6B25BA394001525D2A1C416140A55C498DCBCC3440@2001-06-28 04:32:00+02}"
44,"{0101000020A41E0000B101B37FD98058C078DCED8E78D54340@2001-10-25 19:08:00+02, 0102000020A41E0000020000002096E85E4C153C40517519E9D5C541C093E96E7036F23440AE42247B1CCB3AC0@2001-10-25 19:18:00+02, 0104000020A41E0000020000000101000000F65DF581B3B864C070C0F7C7784019C001010000007E53DE09E92E64C0718FDFA557FC23C0@2001-10-25 19:21:00+02, 0101000020A41E0000A1019D58C3C958C06C2D841C498630C0@2001-10-25 19:24:00+02, 0102000020A41E00000200000022F2A1B2AC1C57C0002003E374E58C3FE2465B7753EF54C06C6C24F362511040@2001-10-25 19:27:00+02, 0104000020A41E00000200000001010000000E2F20565D5563C0E08F9E8441504EC001010000006B2B192B575A63C068CFDEFC16554AC0@2001-10-25 19:35:00+02}"
45,{0101000020A41E0000248771ACA5675EC0D3DE071559014CC0@2001-04-06 22:40:00+02}
46,"{0101000020A41E0000D1A8E7ED02B158C090110F60DD593640@2001-12-07 03:17:00+01, 0102000020A41E0000020000003AA1125BD7DF60C0C0B61CD1AC1B44407EFB3CF1451C62C05B65C1645C1F4740@2001-12-07 03:25:00+01, 0104000020A41E000002000000010100000069146D3E89345DC0800A33DD6728FFBF010100000032D6E56BA29A5EC07CF2017C51171940@2001-12-07 03:31:00+01, 0101000020A41E0000A0B74C2CA9C73DC01012122619522840@2001-12-07 03:40:00+01, 0102000020A41E0000020000009878C6EE47DF3CC07A590D32A5465040D4B220A44A8439C0059A422135494E40@2001-12-07 03:49:00+01, 0104000020A41E0000020000000101000000E2775D3AD38B63405891AF97A3B8504001010000001A8AC737031F64409AE00319CE594F40@2001-12-07 03:52:00+01, 0101000020A41E000098CAD02121E434C0D0C4D9AEC80451C0@2001-12-07 03:53:00+01, 0102000020A41E000002000000DCF295D6E7A061403A1793AAFAEE40406482DBB1110C61406EF0DA226CC24040@2001-12-07 03:55:00+01, 0104000020A41E000002000000010100000000BE6D1495B764C080F4B35539DD35400101000000E9CC0F1A02ED64C0386C890624BF3840@2001-12-07 03:58:00+01}"
47,"{0101000020A41E0000003A2B77A25A48C0DC8C02B7B39233C0@2001-05-04 13:59:00+02, 0102000020A41E0000020000009053CC40F7DD5A403E0FB4B0AED9404035E7175457425C409B274167B4133D40@2001-05-04 14:06:00+02, 0104000020A41E00000200000001010000004720A7D0824064C038A5B7283878324001010000007B0E41950D0763C0E681693CD70B3040@2001-05-04 14:12:00+02, 0101000020A41E00000051B39168B90DC0A0F28275B74B35C0@2001-05-04 14:18:00+02, 0102000020A41E0000020000008E0C734B7B175CC00C1EFC3EB69E4240B8C257DC14765CC02356FA0C6C6A3E40@2001-05-04 14:28:00+02, 0104000020A41E000002000000010100000080C3FCB6E082F5BFF543690CC65D55C0010100000028419E42CDC90A40A093B4469F9D53C0@2001-05-04 14:29:00+02, 0101000020A41E000018E2CF944B434DC0F2FC07DB3DBC5540@2001-05-04 14:33:00+02}"
48,"{0101000020A41E000018925EA8D8444740F831ED1481EE4440@2001-05-25 13:47:00+02, 0102000020A41E0000020000002459A59462D05C407654457DBCFC5340DA70EA6FC9C65D402432C264F30C5440@2001-05-25 13:49:00+02, 0104000020A41E00000200000001010000000C1BE37EF4EA4940E0A3AAC38E2C514001010000000E7E8D5CE7014540A7FDCFE76DB54F40@2001-05-25 13:55:00+02, 0101000020A41E000092BEFBAFA02C6640C09B650A954725C0@2001-05-25 13:57:00+02, 0102000020A41E000002000000258D9288625065C058421D24885745C05C34EDC4952766C0DCED2F5310C249C0@2001-05-25 13:59:00+02, 0104000020A41E00000200000001010000005C7B8D4206D657409A9691FC3F4B41400101000000A097736D17D85740F3F8EB83E9704340@2001-05-25 14:08:00+02}"
49,"{0101000020A41E00009653760D878464C055E83C19A4C153C0@2001-12-09 07:43:00+01, 0102000020A41E00000200000098586BBCA4764AC006EAF3966BB05140CC5E01F159214DC020B1C691D0FB4E40@2001-12-09 07:48:00+01, 0104000020A41E0000020000000101000000C49EC7F0A8324540243E4153AB344D400101000000992F3F004B724640A26C17AE9AE84840@2001-12-09 07:50:00+01, 0101000020A41E00009033765943285640902EE295AD2853C0@2001-12-09 07:56:00+01, 0102000020A41E00000200000068F89CAC8C475140986A537C0F415440169FF9F78EDC5040409C85F90A515640@2001-12-09 08:03:00+01, 0104000020A41E00000200000001010000008096981D794415C04268E3FBA0435040010100000004B0E0A1D07212C02727AC2DDE355240@2001-12-09 08:12:00+01, 0101000020A41E0000952CDFCE9F2766C0805C0F7EC3FEF0BF@2001-12-09 08:16:00+01}"
50,"{0101000020A41E0000C0C04FC365062140D248D172EBED40C0@2001-01-19 16:09:00+01, 0102000020A41E000002000000CCEBCD257EE84940E0D39E46D83F2D40F050E2EAE0164D404B214E0A933A3740@2001-01-19 16:17:00+01}"
51,"[0101000020A41E000020398769CBF327C0F4F2E77E740D3DC0@2001-04-07 05:17:00+02, 0102000020A41E0000020000008857E0EEB4375EC0F8702BC4E68855408D44BC64F01D60C0820955A9602C5340@2001-04-07 05:20:00+02, 0104000020A41E0000020000000101000000725A8AE5701E66407878D45D63DC39400101000000C2AD900B3A986540A78AF23630683440@2001-04-07 05:30:00+02, 0104000020A41E0000020000000101000000725A8AE5701E66407878D45D63DC39400101000000C2AD900B3A986540A78AF23630683440@2001-04-07 05:40:00+02)"
52,"[0101000020A41E0000612CF3F3F7CF60C0CA5CD7F6542343C0@2001-09-29 20:12:00+02, 0102000020A41E0000020000002807D28DED4A60402ADD356092A155C0153FC0149E56604079FF2A40287055C0@2001-09-29 20:18:00+02, 0104000020A41E0000020000000101000000A003C7F8021D22401E66AB2B294956C001010000005A729A29A142254056891A0B2C3754C0@2001-09-29 20:22:00+02, 0104000020A41E0000020000000101000000A003C7F8021D22401E66AB2B294956C001010000005A729A29A142254056891A0B2C3754C0@2001-09-29 20:24:00+02)"
53,"(0101000020A41E00008C28F36D01B25D40C07411684F984640@2001-08-17 18:12:00+02, 0102000020A41E000002000000488EC9982A476340E8651001985E3EC0852D467AA51162402809F4B1DF7D38C0@2001-08-17 18:19:00+02, 0104000020A41E00000200000001010000003022FDFA76C0244020FE19C3B5E4554001010000007383B8845C432D4009263B46076C5540@2001-08-17 18:20:00+02, 0101000020A41E00008804DA7C00F360C094B03CD77D0F5640@2001-08-17 18:24:00+02, 0102000020A41E00000200000000B02FDD9A58644070BD2F8EBF233140647E9EEAC2A06440989E6DA43D481F40@2001-08-17 18:26:00+02, 0104000020A41E0000020000000101000000C00E570ABED1094000488FDD76E5C63F01010000009E611E7818D516C03CD28421A9291440@2001-08-17 18:35:00+02, 0104000020A41E0000020000000101000000C00E570ABED1094000488FDD76E5C63F01010000009E611E7818D516C03CD28421A9291440@2001-08-17 18:44:00+02)"
54,"(0101000020A41E00009011869A6D962640BAD659A7403F52C0@2001-09-03 20:24:00+02, 0101000020A41E00009011869A6D962640BAD659A7403F52C0@2001-09-03 20:30:00+02)"
55,"[0101000020A41E0000CE778442470051C0741097F0FFD24EC0@2001-04-16 00:29:00+02, 0102000020A41E0000020000001768FC6E8B3756C06C0D53903EDC5340B2C316C53C3D56C04CE49B294A215340@2001-04-16 00:32:00+02, 0104000020A41E0000020000000101000000B949FC3D5A2259C090A6CB51E0D84C4001010000005E20242BDC095AC0C83F98824AC74A40@2001-04-16 00:35:00+02, 0101000020A41E0000BC7913F26C704C408029046606495440@2001-04-16 00:44:00+02, 0102000020A41E00000200000010E4D10B95213E40DC07FCCB9F873C408C688B59C25A3B409F06CC0608D84140@2001-04-16 00:51:00+02, 0104000020A41E000002000000010100000050445C3A32E747C0082B5408ADA137400101000000BE73305DF6FD47C0983180A08EFC3C40@2001-04-16 00:55:00+02]"
56,"[0101000020A41E0000201B299102E32FC090C006AFD4F71D40@2001-11-02 03:16:00+01, 0102000020A41E000002000000AC33DE30815A6640A4DE81C06CB44B40EEEEC35E81A36540E7C6EFAB4D494E40@2001-11-02 03:17:00+01, 0104000020A41E0000020000000101000000FC2DE82F835950C0A447D4A015FA4D4001010000001487AF39D7574EC0365936E038374940@2001-11-02 03:18:00+01, 0101000020A41E0000705A571D1EAB3640D80F001283DD3DC0@2001-11-02 03:25:00+01, 0101000020A41E0000705A571D1EAB3640D80F001283DD3DC0@2001-11-02 03:27:00+01)"
57,"(0101000020A41E0000B45AD3644CBE57401DF18C5D8AEF44C0@2001-06-15 19:43:00+02, 0102000020A41E000002000000EEE3083403F754C0FAE53AC3631F52C06763AAA3E63354C03D9CEAEBD92252C0@2001-06-15 19:50:00+02, 0104000020A41E0000020000000101000000E29E27F978726240589BAB1CD4914B4001010000001B8024CADF096340158EECB6E4BE4C40@2001-06-15 19:56:00+02, 0101000020A41E0000409D5F0CD2F22B40BF7B68D4DFF054C0@2001-06-15 19:59:00+02, 0102000020A41E000002000000A0322629AB9C5D40288EF99A43B25440E13A9E74FFEC5F400A613332CF1C5640@2001-06-15 20:01:00+02, 0104000020A41E00000200000001010000003405D818A0274F408E590A52C478534001010000004105D3AB35CE4E40D5DAB09779D65140@2001-06-15 20:10:00+02, 0101000020A41E00003C5EDC4E261F5DC08C219F33816F4840@2001-06-15 20:17:00+02, 0101000020A41E00003C5EDC4E261F5DC08C219F33816F4840@2001-06-15 20:27:00+02)"
58,[0101000020A41E0000A045CFC58BA23D4064922C48A96E3340@2001-11-29 11:30:00+01]
59,"(0101000020A41E0000E69D9FC5283961C0542F03F6F67F3B40@2001-07-11 18:27:00+02, 0102000020A41E0000020000001C02E819A1B54E400D3B8BD275234FC0E7880F90581E50401D45419C9BDC4EC0@2001-07-11 18:33:00+02, 0104000020A41E0000020000000101000000E035ED8416CC2940CC5E2442F6A731C00101000000B6A55648F7FD334060842D8925B41FC0@2001-07-11 18:35:00+02, 0101000020A41E0000683F2463695749C0B8EA5CE6681A2AC0@2001-07-11 18:41:00+02, 0102000020A41E000002000000F6352B7214E44CC0202163B9F85534C081A0D3CA0EC24BC00EF5F0273FE627C0@2001-07-11 18:46:00+02, 0104000020A41E00000200000001010000004CB9C0DB40C74C40C060A2F322693BC00101000000EB4304531A634B403DB416084D5242C0@2001-07-11 18:48:00+02, 0101000020A41E000084F83EFA79E25740985D0A90A0EB2BC0@2001-07-11 18:55:00+02, 0101000020A41E000084F83EFA79E25740985D0A90A0EB2BC0@2001-07-11 19:00:00+02)"
60,"[0101000020A41E000080D3F76EC86F01C0E23DAD596BDD43C0@2001-04-03 10:06:00+02, 0102000020A41E00000200000090905247C4804AC0B1432755C7B646C0942A201AC38D46C048DAB69AB8D144C0@2001-04-03 10:13:00+02, 0104000020A41E0000020000000101000000207218A592602F405CF0880D2A7D50C00101000000B4E60D09055A2340C47E1417B4CB4CC0@2001-04-03 10:23:00+02, 0101000020A41E00009876D022C9F143405ABADE3DF5415340@2001-04-03 10:27:00+02, 0102000020A41E0000020000006675D25E9BE84CC0E487517082A75440ACBA29346D4650C06934E61B2BFA5440@2001-04-03 10:35:00+02]"
61,"(0101000020A41E000040043C76A9511B40624419A58E4B5340@2001-02-18 10:05:00+01, 0102000020A41E0000020000005C6E694EED6C61C024EB6F65A2383C407233125020BF60C033148351A9034240@2001-02-18 10:12:00+01]"
62,"[0101000020A41E00003FCA7E2C35B65FC00CD7C84C7B5C41C0@2001-11-11 09:20:00+01, 0102000020A41E000002000000504BCD9E5DFB32C0103A9190FE5431403D8EECA8477336C0C2F421BD13AE3540@2001-11-11 09:26:00+01, 0104000020A41E00000200000001010000007A7EC05E196F6440A87D3AEFBDEB22C001010000001D529FA953F764406438EA8BD9E326C0@2001-11-11 09:32:00+01, 0101000020A41E000035D211EF80DC5DC040B2BAEA309B1840@2001-11-11 09:35:00+01]"
63,"(0101000020A41E0000B18A266C8BC465C0C8450EFD5BB54C40@2001-09-06 13:46:00+02, 0102000020A41E0000020000009803E231684C3240EA11683FE86950C0BDAF51098B063840446861500E5A4EC0@2001-09-06 13:56:00+02, 0104000020A41E0000020000000101000000588749512D8F43C0DAFAEAF01DCC42400101000000DFFFDF8F948445C094396B6A35CC3F40@2001-09-06 14:04:00+02, 0101000020A41E00000C0856F40C834C40C695F14507C15040@2001-09-06 14:07:00+02, 0102000020A41E000002000000784A9C998ECA40C07610C8BDE0DC5240224AC7E407E840C03A71B9BF3AB25440@2001-09-06 14:13:00+02, 0104000020A41E0000020000000101000000322AE7E938E1624058B3FFEB1F34364001010000000F991517E3406340FA04303039BA2A40@2001-09-06 14:16:00+02, 0101000020A41E0000640AD79EB84154C0D0ACABD346155040@2001-09-06 14:22:00+02, 0102000020A41E0000020000001AB5010D1DC06540D88A4725B96B52C04D917C451D0965405AD0E9F14ED850C0@2001-09-06 14:30:00+02, 0102000020A41E0000020000001AB5010D1DC06540D88A4725B96B52C04D917C451D0965405AD0E9F14ED850C0@2001-09-06 14:40:00+02)"
