k,temp
26,"{0101000020E40E0000889AB1D165335440707B5C4896BA1A40@2001-11-22 18:51:00+01, 0102000020E40E000002000000DE2E0F09E09042C0842FD2EE6E4C56C03CE30AD7308C47C04B2115ADB8A258C0@2001-11-22 19:01:00+01, 0104000020E40E000002000000010100000026F6A3974DE1564084D5D589E87658400101000000DE0073F620195640B0ECAEE524FD5540@2001-11-22 19:09:00+01, 0102000020E40E0000020000009C79C82F12254B40E06021E0F1E613C0AD055A8760144A4060BAE8637BAD1040@2001-11-22 19:15:00+01, 0104000020E40E00000200000001010000007D5676F1837653C005952110A0554AC00101000000E286288F57C455C0C49B37F011FB4AC0@2001-11-22 19:18:00+01, 0102000020E40E0000020000004C8B964C395240C0A0F421E35A004F40E32A3E08E1A439C0E95545B9805B4A40@2001-11-22 19:21:00+01, 0104000020E40E000002000000010100000090B3EAB749D53F40EA3CB53E443854C0010100000049A957C7E8B238408EA9CCE6978D53C0@2001-11-22 19:22:00+01}"
27,"{0102000020E40E0000020000008C925F0E83DA40C0FC5605646D4352C0280F9F6BFE3D42C0262E5DCC23F150C0@2001-05-21 19:13:00+02, 0104000020E40E0000020000000101000000A4C6E9D2D2BE35C0082E27A98EF03D400101000000AA67783ECCF629C0E77A67DE1FB73540@2001-05-21 19:17:00+02, 0102000020E40E0000020000001B87DCF098FE56C02217F68FC443524087F7B157AC0655C0492631700D685440@2001-05-21 19:21:00+02, 0101000020E40E0000D8C8BB85212B4640383452CF73DA4B40@2001-05-21 19:24:00+02, 0101000020E40E00008344CE3B7FE056C05070724258E34340@2001-05-21 19:31:00+02}"
28,"{0101000020E40E0000C855882DBBAC2940252AB56C6D4952C0@2001-05-12 21:08:00+02, 0101000020E40E000068BD67F26D4654C070FB07C73F8D5340@2001-05-12 21:15:00+02, 0104000020E40E00000200000001010000000CD9E93E600D4140584E1879ED594F400101000000FCB1B8ECA2E345405583DD617B115240@2001-05-12 21:18:00+02, 0101000020E40E0000D4A8C0498D964940D8292D0FDAD83240@2001-05-12 21:25:00+02, 0102000020E40E000002000000D0220426CC7755407FDBB995087057C0217BAD31254B5740BAFA875955BB58C0@2001-05-12 21:30:00+02, 0104000020E40E0000020000000101000000B069016CA2F83CC0CE63BDDC099A50400101000000FBC72614A5943CC01819901EEEFC4D40@2001-05-12 21:36:00+02, 0101000020E40E00000E11387D30B452402A20C353335B5140@2001-05-12 21:37:00+02, 0102000020E40E000002000000E0BD390794FE1BC0C0228DFB543E3DC003AE81A059AA27C080730A37F4073CC0@2001-05-12 21:39:00+02}"
29,"{0104000020E40E0000020000000101000000AC8A6FDEED6235C030287D3E910434C00101000000176C330054D430C0CEF67E8019C027C0@2001-07-15 09:58:00+02, 0101000020E40E000040F989C1332C5340882963CE7A6854C0@2001-07-15 10:01:00+02, 0102000020E40E000002000000507531B9DAC636C00457F75A1C0C3EC0C8E6AF0CDA2C3EC0F238965DA6B138C0@2001-07-15 10:11:00+02}"
30,"{0102000020E40E0000020000001F3CA1E037C252C010D8AD519FC51EC0169BBD753C9B53C07A15D89C423E1DC0@2001-10-15 20:02:00+02, 0104000020E40E0000020000000101000000506066D50AEC4EC0384191262A0926C00101000000185A1DBD337051C066340F522EBA30C0@2001-10-15 20:04:00+02, 0102000020E40E000002000000608A691315533E407800E3EDB5364C40E2432DED6D463540BFB54EA61C924940@2001-10-15 20:13:00+02, 0102000020E40E000002000000B8560E20A3943940E436D795977437C000BDA0C5031F414024D1ED323CFE3AC0@2001-10-15 20:22:00+02, 0104000020E40E000002000000010100000048CDAF712C9656404E3CF455ABF35140010100000082AC21A80E37554069543514F2974F40@2001-10-15 20:23:00+02, 0102000020E40E0000020000002867C7E0B0034B405814407885F947401BB6E1FD0DB84B405CEE7B80AF3E4640@2001-10-15 20:26:00+02}"
31,"{0101000020E40E000060908C0E2B4853C048C3E5D1BCB53C40@2001-05-06 17:12:00+02, 0104000020E40E0000020000000101000000888C1E4A92423C40A2CCF4FE35205240010100000018A83AEB7C643940F44FD400F32D5440@2001-05-06 17:13:00+02, 0102000020E40E0000020000008B90481C427958C0E1C9A0E304B652C07903D278B9A357C053684C362C5051C0@2001-05-06 17:22:00+02}"
32,"{0101000020E40E0000885DF8FEAC535740A08B229BCF1D4340@2001-09-14 16:03:00+02, 0104000020E40E0000020000000101000000E46CD41816D85540C227ABDF102D554001010000006BF25B72476C53401A6406DBE6355740@2001-09-14 16:10:00+02, 0102000020E40E0000020000006277E6211F1648C0AC3D754082B45740FECEA741320D4CC03BD8E8D809D35540@2001-09-14 16:20:00+02, 0104000020E40E00000200000001010000008E386CCF343E4DC0E63DF6F859A052400101000000C8C7B238F4DC4FC0CB713F68138A5440@2001-09-14 16:24:00+02, 0102000020E40E00000200000054F494A729463640CCE55C4A8B0440406F474FEB1FE33240E50C15FCD6EB3D40@2001-09-14 16:27:00+02}"
33,"{0102000020E40E0000020000007B7ADB1ED6904CC0A801751B598E36409C741DE17B594CC06C8C10196D213040@2001-03-24 15:46:00+01, 0101000020E40E000054734F251B054C4040D74E5C6E0621C0@2001-03-24 15:53:00+01}"
34,"{0101000020E40E0000C822982D31342440344B2BC851E44540@2001-01-05 18:50:00+01, 0102000020E40E00000200000090171343AFF317C01060A23A8CB03CC0A27C8CDDA2AE10C0CB0F84541BE832C0@2001-01-05 18:56:00+01, 0104000020E40E0000020000000101000000404804E341B51D40FC66C3F74ED03CC0010100000070C2072649B92C4002A953CD565443C0@2001-01-05 19:04:00+01, 0101000020E40E0000F4002062E43B494000ADBB00C1094AC0@2001-01-05 19:14:00+01, 0101000020E40E0000609FBB0EB60F2AC0C7F4E356B58758C0@2001-01-05 19:22:00+01, 0101000020E40E000030557F0640CB21C018764EFB6B454240@2001-01-05 19:30:00+01}"
35,"{0102000020E40E000002000000180D310545B335406C1A53C0B80F4E40AE0EB7D64E653E4040AB623614304C40@2001-04-18 20:30:00+02, 0101000020E40E000050CED0A7350B48C0B88A3B6E79383C40@2001-04-18 20:38:00+02, 0101000020E40E00002A8D04B70F05514078C80CC08D4952C0@2001-04-18 20:44:00+02}"
36,"{0104000020E40E0000020000000101000000D33EFFF63EC850C09A724A23549B57400101000000BC2DAB861A5A51C0AD162EF69AD75740@2001-12-26 21:17:00+01, 0101000020E40E0000209F9881326539C0BE11C26917ED4CC0@2001-12-26 21:25:00+01, 0104000020E40E0000020000000101000000F4CE8F7D482C5640B03114ECC2722C40010100000006F38C7DAC6C554006809170EDCF3040@2001-12-26 21:27:00+01, 0104000020E40E00000200000001010000006C79EE83B78150C0307E1D9258C728C0010100000040EA1551AF004EC002CB0B96001129C0@2001-12-26 21:28:00+01, 0104000020E40E00000200000001010000006472D0E17F5A42C0041AED10BD5746400101000000BFB96490FF5F3DC07DDDA1DFC4D64340@2001-12-26 21:29:00+01, 0102000020E40E000002000000002B4C42332BFB3F8AF099A0C99651C010EE949B72CB154052AA67EF924E53C0@2001-12-26 21:39:00+01, 0101000020E40E0000A22C78DBEF3857C040602E9710D71C40@2001-12-26 21:47:00+01}"
37,"{0101000020E40E00007AC759129D2955C03648E3D814135540@2001-02-24 22:52:00+01, 0104000020E40E0000020000000101000000C0F80213B81317C0F0918ADD7AFD1040010100000056877D54BB852FC07869082974B01C40@2001-02-24 23:00:00+01}"
38,"{0102000020E40E00000200000069941D1E70D655C0B495206D98C652409BA01C0616D656C0CD425236CEEF5140@2001-05-22 04:25:00+02, 0102000020E40E000002000000EC33037E7E5D36C0E6158181B56455C00C07493154B936C054C08E2B5D4E55C0@2001-05-22 04:32:00+02, 0104000020E40E000002000000010100000057E4E113E49B56C0D4FFD88306A555C001010000004CFB6A63B24F58C0034467834C8155C0@2001-05-22 04:36:00+02, 0101000020E40E000084BDE5E7C7144740186DDB1F81222140@2001-05-22 04:38:00+02, 0104000020E40E0000020000000101000000F8D281209FCD50407CC22242DBE034C00101000000E6CC5E5332574F40EF6AB20B46DF38C0@2001-05-22 04:45:00+02, 0101000020E40E00000856AFA4E5404B4060B60C407AF537C0@2001-05-22 04:46:00+02, 0104000020E40E0000020000000101000000485AF8B98CFF3C4080D0EA9D6C73EEBF0101000000226DE624F7A037408AAD2814072125C0@2001-05-22 04:56:00+02}"
39,"{0101000020E40E00005C62A545B8E05840AA62BD5933495740@2001-12-03 11:22:00+01, 0101000020E40E00002AC335F922EE5640E9483DC2BFB942C0@2001-12-03 11:28:00+01, 0104000020E40E0000020000000101000000A8D6B9C964E3454010A6AAA766075840010100000032DA4605A9684840EC3518E07E935540@2001-12-03 11:37:00+01, 0102000020E40E0000020000003480262B80AA4D402C7C316476FD4E409F590BEBCAB2494041512593809D4D40@2001-12-03 11:43:00+01, 0104000020E40E000002000000010100000059C59791418548C0A8DA6C2A4BFB4E4001010000002763A22A6FF249C01C02B596B6284F40@2001-12-03 11:53:00+01}"
40,"{0104000020E40E00000200000001010000006ABCA279FE9A5740A035AFA8CA49344001010000005E135E00B26C58400CB4FFB6274A2740@2001-05-26 04:56:00+02, 0104000020E40E0000020000000101000000CA98AFCF8F0E574054BC20B8209158400101000000C2D5E287E4C45640D03F478CDDC25640@2001-05-26 04:59:00+02, 0102000020E40E00000200000060EC4F6A99575840402404DFE82AF13F083B4ADBC0F3564020EFEE1B48331E40@2001-05-26 05:04:00+02, 0102000020E40E0000020000002C2CCF385D715740D49F6FCC591A564002A939E8C72255408B0D1B1413835540@2001-05-26 05:07:00+02, 0101000020E40E0000E03825D7781F4840D47370F8FBA455C0@2001-05-26 05:17:00+02}"
41,{0104000020E40E00000200000001010000004E86EE6DF19B5040E8A75E7B4F1641400101000000647A0CF0594A4D40753260B15DF03A40@2001-06-04 20:24:00+02}
42,"{0101000020E40E0000402466C0298208C0498CCDCD27DD4AC0@2001-11-25 12:25:00+01, 0101000020E40E000092AA99A7E2BB50C035C4185B254056C0@2001-11-25 12:31:00+01, 0104000020E40E0000020000000101000000223601551DC0524000DAE14FD17040C001010000008BF53D37509254408D4B89A299E943C0@2001-11-25 12:35:00+01, 0104000020E40E0000020000000101000000E0A9BD522D8A434000517769119858C0010100000095B2F31126E1474067E26BC1722A57C0@2001-11-25 12:36:00+01, 0101000020E40E0000202E6697FE5B1AC0286F58D9B1C640C0@2001-11-25 12:39:00+01, 0102000020E40E000002000000A2860B81F7F850403C9C7EC5A6A157408C212CB2929650405FC31CABC6F55540@2001-11-25 12:44:00+01}"
43,"{0101000020E40E00004CF22A3174AA474020BED78608D54740@2001-03-07 14:02:00+01, 0104000020E40E00000200000001010000005045FBC431953EC08858632244DD21400101000000B3D09F3B31D942C0FF169B1911931440@2001-03-07 14:03:00+01, 0104000020E40E00000200000001010000002AF16DF4ECF048C0C29F6C9895C64EC0010100000080BBC17517CB4CC0F8E4B66B4FCD50C0@2001-03-07 14:13:00+01, 0104000020E40E0000020000000101000000EF2B9FE39AF055C0164CFB9B6BBB57C001010000002CCFC53EB3C954C093680D00D72A58C0@2001-03-07 14:15:00+01, 0101000020E40E000000B0A68047543AC078F32709DAEA4F40@2001-03-07 14:17:00+01, 0102000020E40E0000020000001841E171A2D92640107DA6EF89084EC02FA59966CBD52440466E05D32F1C4AC0@2001-03-07 14:19:00+01}"
44,"{0104000020E40E0000020000000101000000683A591DB0263240E084D0329FE521400101000000D0B73CAB3F502D40FC16A80F8BDB2340@2001-05-03 19:53:00+02, 0101000020E40E0000A4BD029E93FC4B4090068B794E732DC0@2001-05-03 19:59:00+02, 0101000020E40E000066C10D76424949C0220D577687C348C0@2001-05-03 20:01:00+02, 0101000020E40E0000841C9863CF735540308EB2021E9123C0@2001-05-03 20:10:00+02, 0101000020E40E000020D83D30AB5C1040805D9514A5BF3F40@2001-05-03 20:13:00+02, 0101000020E40E0000AAE5A29B41575540C279EFC4A8ED49C0@2001-05-03 20:14:00+02, 0101000020E40E00004650B1AE692541C060DAA4EB46A02AC0@2001-05-03 20:23:00+02, 0101000020E40E0000D8FBDB079E5D344040F1F13F80614840@2001-05-03 20:32:00+02, 0104000020E40E000002000000010100000000DF1FD8A54026C0ECEE78E4DD3054400101000000563F8F0F1AE81BC0D2ED17C5EA085440@2001-05-03 20:39:00+02}"
45,{0102000020E40E000002000000FB4D428F485854C0B084C40200332C40783CD9C8160054C035B662C1B8F53340@2001-12-04 11:27:00+01}
46,"{0102000020E40E000002000000706B30F856222340C4195E4A897F46C076B7B9F3EDCB1D4098FD4FF5F5F547C0@2001-12-26 21:29:00+01, 0102000020E40E000002000000FCC08392E3B73840AA05025331905140ADEF22AAD5BE2F4030A66B2C56BE5240@2001-12-26 21:33:00+01, 0102000020E40E00000200000096DEDCE1739454C0C4703531770F534082BED2C18E4754C0A2F6E152ABBD5240@2001-12-26 21:43:00+01, 0104000020E40E000002000000010100000098F85457305751C0EBC4EC4C401942C00101000000E051CA8B0B0D4EC06B4E48B3DD2A3FC0@2001-12-26 21:49:00+01}"
47,{0104000020E40E0000020000000101000000BCD19364F42943C03919C4E7875C54C00101000000606E128ECD7C42C0040B463D021F54C0@2001-03-06 06:41:00+01}
48,"{0104000020E40E0000020000000101000000C090BE57D72A0E40C844A9EB67C639400101000000B00578824DEE174036940B94984C3840@2001-08-21 04:28:00+02, 0102000020E40E000002000000E10A7C2548EA57C0784E22A5D0885740F477F7660FEC57C0EA5368FCCEB95740@2001-08-21 04:38:00+02, 0104000020E40E000002000000010100000091112B98540856C088E0C612288436C001010000002C660ED816EE55C0AFEEB08901ED3AC0@2001-08-21 04:47:00+02, 0104000020E40E0000020000000101000000AEED14A3F0C551C096401774845342C0010100000091A7FA23FD5D4FC0AF52A1DD993C42C0@2001-08-21 04:50:00+02, 0104000020E40E0000020000000101000000607603AC0FEF58C08808B39D264D2BC001010000008F89D0AEB26E57C0578269A6A36E35C0@2001-08-21 04:51:00+02}"
49,"{0102000020E40E000002000000944986F4A281554080C8FDBBAC0A02408C699A129CF35340103A0812F591F43F@2001-08-19 16:00:00+02, 0102000020E40E000002000000B42C651552383CC04701945989724DC0BEAA55E7DF8237C0A4DA7B8FE1424CC0@2001-08-19 16:05:00+02, 0101000020E40E000029CE51EC6E7949C0F4DE1109B7E33FC0@2001-08-19 16:06:00+02, 0101000020E40E0000B0388D37360A42402DBD0B57973D46C0@2001-08-19 16:10:00+02, 0102000020E40E00000200000020D53A237D180A40CA85DB5DFD9B5340B87AA75A5BF028408522AADFAB395540@2001-08-19 16:15:00+02}"
50,"{0101000020E40E0000E81DD8079F0E4140F43EC355EA344740@2001-10-21 15:06:00+02, 0102000020E40E000002000000500D436A6C073FC04470291F766C37C025B1BAA0F8E03FC0610DF1E2051B3AC0@2001-10-21 15:16:00+02, 0102000020E40E0000020000004034B2B821355540DCC0AB8622924640037006FA1D285440BE43A42CC5EB4640@2001-10-21 15:21:00+02}"
51,"[0104000020E40E00000200000001010000003456DC0F4A88564094B79C185A8652C001010000004855DB846ACF5740CA6FDE261EDB52C0@2001-07-08 20:44:00+02, 0101000020E40E0000EC49C5E82054414018B1AAB477CA3DC0@2001-07-08 20:45:00+02, 0104000020E40E00000200000001010000003C98CB77EBCA52404443BE547C3A45400101000000D1A556BEF3EF5240D56EBE7FB0E94140@2001-07-08 20:51:00+02, 0101000020E40E00005476D93B69A85740B80DBCF40A3D4A40@2001-07-08 20:55:00+02, 0102000020E40E000002000000CCC1C18AE8385740011C4BD99FCF57C07C6EB03A79F55740D4CF30CE796B56C0@2001-07-08 21:00:00+02]"
52,"[0101000020E40E0000DC2055987EC937C058195C15C4AD4A40@2001-10-02 17:01:00+02, 0101000020E40E000097C7E6615B6254C0A045443EEA462AC0@2001-10-02 17:05:00+02, 0104000020E40E0000020000000101000000E25E0F867CF95440089EFB6959DB50C00101000000E67364B93F095640D15F21F22C4C50C0@2001-10-02 17:06:00+02, 0102000020E40E00000200000078933EFF7CE43A40B056D8AFA5C04A4078721F461F2D4040CE969661FA3F4A40@2001-10-02 17:08:00+02, 0102000020E40E000002000000E0B6D582160B4D4038247B7F0C3A42C0B6373225C6E9484010BC0FBF7DDF45C0@2001-10-02 17:15:00+02, 0102000020E40E0000020000007C676761970D47409C3EFF260BDC36404613532DC1A84A40CBE47DC2E6823C40@2001-10-02 17:25:00+02]"
53,"(0104000020E40E000002000000010100000020D0AF7AF6C2324000D644E117AE4F400101000000E6D89CC1432037405F05EB4BA0324D40@2001-01-17 23:21:00+01, 0104000020E40E00000200000001010000002CAB33E0EB7D3540677FB03DDCBD44C00101000000796143444A0B2D40E0D1924CD2A741C0@2001-01-17 23:23:00+01, 0102000020E40E000002000000D0D7FFA8FDA23240C2A68F39DFB958407AF77C39246B2E40DD158774E7525740@2001-01-17 23:29:00+01, 0104000020E40E000002000000010100000020B7F3B6E3543440206E616F9A8A52C0010100000044C7FFA64F152F40DA7F796DFBC353C0@2001-01-17 23:38:00+01, 0102000020E40E0000020000002082F6CBB0D11B401049C11DFA993AC0E4414ECD24432E40FF9AD71055F738C0@2001-01-17 23:47:00+01, 0104000020E40E0000020000000101000000086860482B933F408C138870952751C001010000003E262501F7574340ABA95D7A27D34DC0@2001-01-17 23:48:00+01, 0102000020E40E0000020000007A4BE1AECA4B50C090B402A3831053C0EAF06FF999984BC05F7EBD68CD0D54C0@2001-01-17 23:58:00+01, 0101000020E40E0000DAE5690EFC914EC0B703CAD1E9DA58C0@2001-01-18 00:08:00+01, 0101000020E40E0000DAE5690EFC914EC0B703CAD1E9DA58C0@2001-01-18 00:09:00+01)"
54,"(0101000020E40E0000A0DE6ABEF09F21402C83833144EC4AC0@2001-11-21 07:13:00+01, 0104000020E40E000002000000010100000054DFAF6F772F344090CCBB81F48146400101000000275A49B754833440CDEB4460840A4640@2001-11-21 07:15:00+01, 0102000020E40E00000200000050178C84A0E71C407C7A9EE9CF544340C8B0D6BCCB65FD3F40063B79A8374840@2001-11-21 07:24:00+01, 0102000020E40E000002000000F8091EA16FB42640D0A939A17C3F4640455AAFE68B3E2A4086177EE7831A4B40@2001-11-21 07:26:00+01, 0102000020E40E000002000000AD5D7FF17CD057C02F3F86FEF4C848C0FABC1F5E1E9255C037A2C16209F44CC0@2001-11-21 07:36:00+01, 0102000020E40E0000020000005C5E58088C0753C0741111F4D0494B40B58572B297D354C0A61B08E740A34B40@2001-11-21 07:40:00+01, 0102000020E40E000002000000586C733A6A274E4080B5E8580A9F544046C798BFAA524D40D620F15F2B085740@2001-11-21 07:43:00+01, 0102000020E40E000002000000586C733A6A274E4080B5E8580A9F544046C798BFAA524D40D620F15F2B085740@2001-11-21 07:52:00+01)"
55,"[0104000020E40E0000020000000101000000D8B833F38DCE52403052251FC7B345400101000000DE0AD7CB4D655440DA763894D6EB4440@2001-08-24 18:42:00+02, 0104000020E40E0000020000000101000000D81B2C865ACD3FC076BAAA2B31E153400101000000F24233FAE68840C0D5F6CFEBFC735140@2001-08-24 18:44:00+02, 0101000020E40E0000546467467D6051C09CAF88A9C7CC5140@2001-08-24 18:52:00+02, 0101000020E40E0000546467467D6051C09CAF88A9C7CC5140@2001-08-24 18:55:00+02)"
56,"[0102000020E40E0000020000001AEF1DB8557758401444D81EFC8A4840CD1900677F2B57406E41403C0D3B4C40@2001-03-27 17:54:00+02, 0104000020E40E0000020000000101000000E617AC67316942C0F8EB78445DB5574001010000009F1ECCBE5CD141C00BD1254776455640@2001-03-27 17:59:00+02, 0104000020E40E00000200000001010000002C9D8D06E93C44C0F0B8CC548F0137C00101000000081EA8E21B9C45C01F7D9F108EDB37C0@2001-03-27 18:04:00+02, 0102000020E40E0000020000002AE88C7EFC0D504040BBB37A52ADF63F5EAF08E606FF51405021D64D8A4B0240@2001-03-27 18:08:00+02]"
57,"[0102000020E40E0000020000001DF1F19069FC46C0E6DAD8CF5DD851C0544B3770C6F946C0A038D639BB9E52C0@2001-02-04 15:27:00+01, 0104000020E40E0000020000000101000000D0EFBD1A4CAF28C034D49A9295CC57C00101000000FCD39A964E6C19C077443EB40E7358C0@2001-02-04 15:30:00+01, 0102000020E40E0000020000000CC8F4E216AD4140984A01B9EB6A3A40B242D53926A24140918BEABAA21E3C40@2001-02-04 15:31:00+01, 0102000020E40E00000200000018D147B908B55540D47B1194ABE537407887AF4814EA5440FEA81B3B12743B40@2001-02-04 15:32:00+01, 0104000020E40E00000200000001010000003C688AC8B87347C0E0258DCAB88E2CC0010100000026599E758A1743C0140D9FB6B54114C0@2001-02-04 15:39:00+01]"
58,[0102000020E40E000002000000A09B67BAE1131D4088F87A301BDF45409010FA80DFBDF23F82124A909B854840@2001-01-13 22:00:00+01]
59,"[0102000020E40E0000020000000088E078C191EF3FB81837B3990F47C079633C9636EB12C019806D71C57B4AC0@2001-01-26 14:11:00+01, 0102000020E40E000002000000284055E3F16E5440F88AE444D3A7214031F546A606E1544098C37FBBAC942E40@2001-01-26 14:15:00+01, 0104000020E40E00000200000001010000008144373F9B7848C02F325EFE818547C00101000000C51E937663154AC01BF678B81D3E45C0@2001-01-26 14:20:00+01, 0102000020E40E00000200000060E9E38FE3644A40844C5148D7994640412E901371134C4007CF7A37A9E94A40@2001-01-26 14:28:00+01]"
60,"[0102000020E40E00000200000098490FDA1A7257404684F4FC9A5457403897F86B81FF5740FFD89C4BB78C5540@2001-09-12 03:21:00+02, 0104000020E40E00000200000001010000008BD593D3F5DA51C049965B40EF1A45C00101000000CC77072F460351C02EEFB39B74B142C0@2001-09-12 03:27:00+02, 0104000020E40E00000200000001010000001E07394A831152C0C8C4DA26AA1A56400101000000C3185B9ACCAD53C08E25EA9876D45440@2001-09-12 03:33:00+02, 0104000020E40E00000200000001010000004A5E86283E8D534080FB46E3C9C4F0BF01010000001703DCB1AF96514098CE487DE5301F40@2001-09-12 03:40:00+02, 0102000020E40E0000020000007635DD1770214FC0F4F46551A9A547401FB6994151244FC0DE7F6BD735164C40@2001-09-12 03:44:00+02]"
61,"(0101000020E40E000020CF56112FC44AC0D0242B3D500923C0@2001-09-24 15:35:00+02, 0102000020E40E0000020000003C8023CF498E504096B7C65A93875040097A143F38414F40F52F04B925185040@2001-09-24 15:39:00+02, 0101000020E40E0000E091A2CB80EC53407A8F8F43B7E84AC0@2001-09-24 15:42:00+02, 0101000020E40E0000E091A2CB80EC53407A8F8F43B7E84AC0@2001-09-24 15:43:00+02)"
62,"(0104000020E40E00000200000001010000003E922A542A7440C0F01B84E3F52611C00101000000EEECEC8A6C7B40C0F2CFCD11F4D829C0@2001-03-22 10:33:00+01, 0102000020E40E000002000000382D533F10DC24C0F0ED076C341B3BC03863D387A63F27C0B308991983B13DC0@2001-03-22 10:34:00+01, 0101000020E40E00005A5C7A3338745540BAB4103E5BBE5040@2001-03-22 10:39:00+01, 0104000020E40E0000020000000101000000305F0FB662FB32C0AEE61127CD6455400101000000D6DB1508E43438C0F2AE8DE9A1B55540@2001-03-22 10:44:00+01, 0104000020E40E0000020000000101000000AEF7DC83D6A050C0749BD96C5EAD56400101000000BDF19FA1C7D650C026A1534E89845740@2001-03-22 10:53:00+01, 0102000020E40E000002000000D87B9CCE714B4FC0C02A2A20B3AA31C056D530D62F1B51C028669F8A0CF229C0@2001-03-22 10:55:00+01, 0104000020E40E0000020000000101000000D4CED626127956C0789DF6FA385642C0010100000023BFB4BD54C254C0EFA2F698265544C0@2001-03-22 11:00:00+01, 0101000020E40E0000DE833BE1D65B41C049462B450C3446C0@2001-03-22 11:08:00+01, 0102000020E40E0000020000003A8AE6C9AEAD56400C00431ED85F464065ADF78CA6995540786970470A994440@2001-03-22 11:10:00+01, 0104000020E40E00000200000001010000000D874179C78957C0289EE844BF22254001010000009E09B0501C6D58C0AD08B1F8E7FE2240@2001-03-22 11:19:00+01]"
